epoch,train_total,val_total,val_monitor,steps,seconds,train_data,val_data,train_penalty,val_penalty
21,0.7605438233516835,0.7383712209065755,0.7383712209065755,693,122.27593302726746,0.7605438233516835,0.7383712209065755,0.0,0.0
22,0.7570033317636561,0.7357940954526265,0.7357940954526265,726,128.00596356391907,0.7570033317636561,0.7357940954526265,0.0,0.0
23,0.7542512556287977,0.7336149553934733,0.7336149553934733,759,133.76902651786804,0.7542512556287977,0.7336149553934733,0.0,0.0
24,0.7521072582810013,0.7315266471862792,0.7315266471862792,792,139.09217047691345,0.7521072582810013,0.7315266471862792,0.0,0.0
25,0.7506167202137135,0.7304885539690653,0.7304885539690653,825,144.39263200759888,0.7506167202137135,0.7304885539690653,0.0,0.0
26,0.7494198057598538,0.7295211567242941,0.7295211567242941,858,149.80082488059998,0.7494198057598538,0.7295211567242941,0.0,0.0
27,0.7486027013778687,0.7294763708750407,0.7294763708750407,891,154.9407126903534,0.7486027013778687,0.7294763708750407,0.0,0.0
28,0.7480469917615254,0.7288707205136618,0.7288707205136618,924,160.03886675834656,0.7480469917615254,0.7288707205136618,0.0,0.0
29,0.7471884102680065,0.7275399431228637,0.7275399431228637,957,165.0987799167633,0.7471884102680065,0.7275399431228637,0.0,0.0
30,0.7467185841277794,0.7272919078191121,0.7272919078191121,990,170.30833840370178,0.7467185841277794,0.7272919078191121,0.0,0.0
31,0.7462675567450346,0.7268200471242269,0.7268200471242269,1023,175.3477611541748,0.7462675567450346,0.7268200471242269,0.0,0.0
32,0.7460252365394875,0.7268534461975098,0.7268534461975098,1056,180.54530811309814,0.7460252365394875,0.7268534461975098,0.0,0.0
33,0.7457282727524086,0.7264676403045655,0.7264676403045655,1089,185.70046830177307,0.7457282727524086,0.7264676403045655,0.0,0.0
34,0.7454015333846763,0.7261322475115458,0.7261322475115458,1122,190.80358958244324,0.7454015333846763,0.7261322475115458,0.0,0.0
35,0.7450920710881551,0.726134037621816,0.726134037621816,1155,196.10444521903992,0.7450920710881551,0.726134037621816,0.0,0.0
36,0.7449190417395698,0.7255435897827148,0.7255435897827148,1188,201.22324299812317,0.7449190417395698,0.7255435897827148,0.0,0.0
37,0.7446512637668186,0.7253177442232768,0.7253177442232768,1221,206.2914068698883,0.7446512637668186,0.7253177442232768,0.0,0.0
38,0.7444784440146552,0.7254101434071859,0.7254101434071859,1254,211.28943538665771,0.7444784440146552,0.7254101434071859,0.0,0.0
39,0.7443716302447849,0.7253253245989482,0.7253253245989482,1287,216.3621106147766,0.7443716302447849,0.7253253245989482,2.93637542264841e-17,1.1226728458916626e-16
40,0.7438677228539078,0.7249187796592712,0.7249187796592712,1320,221.59540462493896,0.7438677228539078,0.7249187796592712,0.0,0.0
41,0.7437171932114495,0.7244228905995687,0.7244228905995687,1353,226.58462476730347,0.7437171932114495,0.7244228905995687,0.0,0.0
42,0.7434097220526801,0.7241294870058695,0.7241294870058695,1386,231.6607780456543,0.7434097220526801,0.7241294870058695,0.0,0.0
43,0.7432916155779803,0.7242375745137533,0.7242375745137533,1419,236.7077841758728,0.7432916155779803,0.7242375745137533,0.0,0.0
44,0.743214836661021,0.7241229745864868,0.7241229745864868,1452,241.6881492137909,0.743214836661021,0.7241229745864868,1.7090695145896787e-20,0.0
45,0.7428797595130072,0.7237896373112996,0.7237896373112996,1485,246.8663091659546,0.7428797595130072,0.7237896373112996,0.0,0.0
46,0.7426710230721367,0.7237440773963928,0.7237440773963928,1518,251.9788417816162,0.7426710230721367,0.7237440773963928,0.0,2.4453845012114804e-18
47,0.7426151529382776,0.7236062895139058,0.7236062895139058,1551,257.0645649433136,0.7426151529382776,0.7236062895139058,2.606697339734601e-19,0.0
